ticker,name,short_name,hq_address,hq_address2,hq_city,hq_state,hq_zip,hq_country,phone,website,sector,industry,market_cap,enterprise_value,employees,currency,exchange,pe_ratio,forward_pe,dividend_yield,beta,52_week_high,52_week_low,business_summary
LLY,Eli Lilly and Company,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,IN,46285,United States,317 276 2000,https://www.lilly.com,Healthcare,Drug Manufacturers - General,677174706176,714651729920,47000,USD,NYQ,49.27528,33.335835,0.79,0.465,939.86,623.78,"Eli Lilly and Company discovers, develops, and markets human pharmaceuticals in the United States, Europe, China, Japan, and internationally. The company offers Basaglar, Humalog, Humalog Mix 75/25, Humalog U-100, Humalog U-200, Humalog Mix 50/50, insulin lispro, insulin lispro protamine, insulin lispro mix 75/25, Humulin, Humulin 70/30, Humulin N, Humulin R, and Humulin U-500 for diabetes; Jardiance, Mounjaro, and Trulicity for type 2 diabetes; and Zepbound for obesity. It also provides oncolog"
JPM,JPMorgan Chase & Co.,JP Morgan Chase & Co.,383 Madison Avenue,,New York,NY,10179,United States,(212) 270-6000,https://www.jpmorganchase.com,Financial Services,Banks - Diversified,843925815296,491923963904,317160,USD,NYQ,15.74705,18.333931,1.82,1.129,307.55,202.16,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through three segments: Consumer & Community Banking, Commercial & Investment Bank, and Asset & Wealth Management. The company offers deposit, investment and lending products, cash management, and payments and services; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit cards, auto loans, leases, and travel services to consumers and small businesses through ban"
WMT,Walmart Inc.,Walmart Inc.,702 South West 8th Street,,Bentonville,AR,72716,United States,(479) 273-4000,https://corporate.walmart.com,Consumer Defensive,Discount Stores,825110233088,888985354240,2100000,USD,NYQ,39.05283,38.047794,0.91,0.654,105.3,77.49,"Walmart Inc. engages in the operation of retail and wholesale stores and clubs, eCommerce websites, and mobile applications worldwide. The company operates through three segments: Walmart U.S., Walmart International, and Sam's Club. It operates supercenters, supermarkets, warehouse clubs, cash and carry stores, and discount stores under Walmart and Walmart Neighborhood Market brands; membership-only warehouse clubs; and ecommerce websites, such as walmart.com.mx, walmart.ca, flipkart.com, PhoneP"
ULVR.L,Unilever PLC,UNILEVER PLC ORD 3 1/9P,Unilever House,100 Victoria Embankment,London,,EC4Y 0DY,United Kingdom,44 20 7822 5252,https://www.unilever.com,Consumer Defensive,Household & Personal Products,113620205568,142309343232,115964,GBp,LSE,23.865978,14.792332,3.29,0.229,5006.0,4311.0,"Unilever PLC operates as a fast-moving consumer goods company in the Asia Pacific, Africa, the Americas, and Europe. It operates through five segments: Beauty & Wellbeing, Personal Care, Home Care, Foods, and Ice Cream. The Beauty & Wellbeing segment engages in the sale of hair care products, such as shampoo, conditioner, and styling; skin care products, including face, hand, and body moisturizers; and Prestige beauty and wellbeing products. The Personal Care segment offers skin cleansing produc"
ABNB,"Airbnb, Inc.","Airbnb, Inc.",888 Brannan Street,,San Francisco,CA,94103,United States,(415) 728-0108,https://www.airbnb.com,Consumer Cyclical,Travel Services,75029528576,65955479552,7300,USD,NMS,29.745148,27.233334,0.0,1.131,163.93,99.88,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California."
ADDYY,adidas AG,adidas AG,Adi-Dassler-Strasse 1,,Herzogenaurach,,91074,Germany,49 91 32 84 0,https://www.adidas-group.com,Consumer Cyclical,Footwear & Accessories,37360521216,23573039104,61055,USD,OQX,26.60769,12.280474,1.09,1.109,137.73,94.33,"adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products in Europe, North America, Greater China, Latin America, Japan, and South Korea. The company offers footwear, apparel, and accessories and gear, such as bags and balls, sunglasses, or fitness equipment under the adidas brand; golf footwear and apparel under the adidas Golf brand; and outdoor footwear under the Five Ten brand. It sells its products through its own retail store"
KO,The Coca-Cola Company,Coca-Cola Company (The),One Coca-Cola Plaza,,Atlanta,GA,30313,United States,404 676 2121,https://www.coca-colacompany.com,Consumer Defensive,Beverages - Non-Alcoholic,288388907008,325901746176,69700,USD,NYQ,23.762413,22.56229,3.04,0.43,74.38,60.62,"The Coca-Cola Company, a beverage company, manufactures and sells various nonalcoholic beverages in the United States and internationally. The company provides sparkling soft drinks and flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages; and other beverages. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers comprising restaurants and convenience stores. The company sells its products under the Coca-Cola, Di"
BP,BP p.l.c.,BP p.l.c.,1 St James's Square,,London,,SW1Y 4PD,United Kingdom,44 20 7496 4000,https://www.bp.com,Energy,Oil & Gas Integrated,88845344768,590438072320,100500,USD,NYQ,135.56,8.989389,5.89,0.424,35.55,25.22,"BP p.l.c., an integrated energy company, provides carbon products and services. The company operates through Gas & Low Carbon Energy, Oil Production & Operations, and Customers & Products segments. It engages in the production of natural gas and integrated gas and power; gas trading; operation of solar and onshore and offshore wind power, as well as hydrogen and carbon capture, power trading, and storage facilities; trading and marketing of renewable and non-renewable power; and production of cr"
SHEL,Shell plc,Shell PLC,Shell Centre,,London,,SE1 7NA,United Kingdom,44 20 7934 1234,https://www.shell.com,Energy,Oil & Gas Integrated,207552299008,466730614784,96000,USD,NYQ,15.924107,9.076335,4.01,0.32,74.21,58.545,"Shell plc operates as an energy and petrochemical company Europe, Asia, Oceania, Africa, the United States, and other Americas. It operates through Integrated Gas; Upstream; Marketing; Chemicals and Products; and Renewables and Energy Solutions segments. The company explores for and extracts natural gas to produce liquefied natural gas or convert into gas-to-liquids products; explores for and extracts crude oil and natural gas liquids; and operates upstream and midstream infrastructure to delive"
RBI.VI,Raiffeisen Bank International AG,Raiffeisen Bank Internat. AG,Am Stadtpark 9,,Vienna,,1030,Austria,43 1 71 707 0,https://www.rbinternational.com/de/home.html,Financial Services,Banks - Regional,9735182336,-2173812736,42765,EUR,VIE,15.693122,11.363985,3.71,1.303,31.96,16.45,"Raiffeisen Bank International AG, together with its subsidiaries, offers banking services to corporate, private, and institutional customers. The company offers cash management, cross border accounts, electronic banking, payments solutions, supply chain financing, foreign exchange, sustainable and subsidized financing, leveraged and acquisition financing, project and structured financing, real estate financing, leasing, factoring, trade and export financing, investment banking, investing, hedgin"
BABA,Alibaba Group Holding Limited,Alibaba Group Holding Limited,"Tower One, Times Square",26/F 1 Matheson Street,Causeway Bay,,,Hong Kong,852 2215 5100,https://www.alibabagroup.com,Consumer Cyclical,Internet Retail,369966940160,2795962105856,123711,USD,NYQ,17.884659,15.710233,0.68,0.1,156.849,80.06,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. It operates digital retail platforms under the Taobao and Tmall names; wholesale marketplaces through 1688.com and Alibaba.com; global e-commerce platform under the AliExpress name; e-commerce platforms under the Lazada, Trendyol, an"
600104.SS,SAIC MOTOR,SAIC MOTOR CORPORATION LIMITED,"No. 489, Weihai Road",Jing'an District,Shanghai,,200041,China,86 21 2201 1888,https://www.saicmotor.com,Consumer Cyclical,Auto Manufacturers,213237809152,112231653376,187739,CNY,SHH,206.1111,19.12371,0.47,0.593,21.3,11.52,"SAIC Motor Corporation Limited researches and develops, produces, and sells vehicles and their parts in the People's Republic of China and internationally. It offers passenger and commercial vehicles; power drive systems, chassis systems, and interior and exterior trim systems; and components and systems of new energy and smart vehicles, such as batteries, electric drives, and electronic controls. The company also provides logistics and transportation, mobility services, energy saving, charging "
GAZP.ME,Public Joint Stock Company Gazprom,GAZPROM PJSC,2/3 Lakhtinsky Avenue,Bldg. 1,Saint Petersburg,,197229,Russia,7 812 413 7444,https://www.gazprom.com,Energy,Oil & Gas Integrated,4681709912064,11146446766080,0,RUB,MCX,2.2370353,2.207358,0.0,0.47,266.68,196.57,"Public Joint Stock Company Gazprom, engages in oil production, oil refining, electric and heat energy generation, media business in Russia and internationally. The company operates through Gas business, Oil business Electric power business, and Media business segments. It engages in the exploration, production, processing, storage, transportation, distribution and sale of gas and gas condensate processing products and oil and refined oil products. In addition, the company is involved in generati"
XYL,Xylem Inc.,Xylem Inc.,301 Water Street SE,Suite 200,Washington,DC,20003,United States,202 869 9150,https://www.xylem.com,Industrials,Specialty Industrial Machinery,34454687744,35643641856,23000,USD,NYQ,36.86198,29.800001,1.13,1.089,145.33,100.47,"Xylem Inc., together with its subsidiaries, engages in the design, manufacture, and servicing of engineered products and solutions for utility, industrial, and residential and commercial building services settings worldwide. It operates through four segments: Water Infrastructure; Applied Water; Measurement and Control Solutions; and Water Solutions and Services. The company offers water, wastewater and storm water pumps, and controls and systems; filtration, disinfection, and biological treatme"
WTRG,"Essential Utilities, Inc.","Essential Utilities, Inc.",762 W. Lancaster Avenue,,Bryn Mawr,PA,19010-3489,United States,610 527 8000,https://www.essential.co,Utilities,Utilities - Regulated Water,10744767488,18522789888,3291,USD,NYQ,16.44206,17.985914,3.58,0.817,41.65,33.18,"Essential Utilities, Inc., through its subsidiaries, operates regulated utilities that provide water, wastewater, and natural gas services in the United States. It operates through Regulated Water; and Regulated Natural Gas segments. The company offers water services through operating and maintenance contracts with municipal authorities and other parties. It also provides utility service line protection solutions and repair services to households; and natural gas distribution services. The compa"
DHR,Danaher Corporation,Danaher Corporation,2200 Pennsylvania Avenue N.W.,Suite 800W,Washington,DC,20037-1701,United States,202 828 0850,https://www.danaher.com,Healthcare,Diagnostics & Research,136085676032,151691608064,61000,USD,NYQ,40.35032,22.678997,0.67,0.78,279.9,171.0,"Danaher Corporation designs, manufactures, and markets professional, medical, research, and industrial products and services in the United States, China, and internationally. It operates through Biotechnology, Life Sciences, and Diagnostics segments. The Biotechnology segment provides bioprocessing technologies, consumables, services, and solutions that advance, accelerate, and integrate the development and manufacture of therapeutics; cell line and cell culture media development services; cell "
MA,Mastercard Incorporated,Mastercard Incorporated,2000 Purchase Street,,Purchase,NY,10577,United States,914 249 2000,https://www.mastercard.com,Financial Services,Credit Services,524697600000,534321496064,35300,USD,NYQ,39.058544,35.434067,0.52,0.989,601.77,465.59,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. The company offers integrated products and value-added services for account holders, merchants, financial institutions, digital partners, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its custome"
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,1 Health Drive,,Eden Prairie,MN,55344,United States,(800)-328-5979,https://www.unitedhealthgroup.com,Healthcare,Healthcare Plans,319259148288,376491999232,400000,USD,NYQ,15.266783,11.789633,2.51,0.452,630.73,234.6,"UnitedHealth Group Incorporated operates as a health care company in the United States and internationally. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older; Medi"
V,Visa Inc.,Visa Inc.,P.O. Box 8999,,San Francisco,CA,94128-8999,United States,650 432 3200,https://www.visa.com,Financial Services,Credit Services,658813288448,660835860480,0,USD,NYQ,33.11512,26.811216,0.7,0.918,375.51,268.23,"Visa Inc. operates as a payment technology company in the United States and internationally. The company operates VisaNet, a transaction processing network that enables authorization, clearing, and settlement of payment transactions. It also offers credit, debit, and prepaid card products; tap to pay, tokenization, and click to pay services; Visa Direct, a solution that facilitates the delivery of funds to eligible cards, bank accounts, and digital wallets; Visa B2B Connect, a multilateral busin"
IBM,International Business Machines Corporation,International Business Machines,One New Orchard Road,,Armonk,NY,10504,United States,914 499 1900,https://www.ibm.com,Technology,Information Technology Services,236084166656,288435240960,270300,USD,NYQ,40.811596,23.8869,2.65,0.697,296.16,203.51,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through Software, Consulting, Infrastructure, and Financing segments. The Software segment offers hybrid cloud and AI platforms that allows clients to realize their digital and AI transformations across the applications, data, and environments in which they operate. Its Consulting segment focuse"
SBUX,Starbucks Corporation,Starbucks Corporation,2401 Utah Avenue South,,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Consumer Cyclical,Restaurants,93095731200,116503830528,361000,USD,NMS,35.454548,22.016129,2.98,0.984,117.46,75.5,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee, tea, and other beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through l"
CRM,"Salesforce, Inc.","Salesforce, Inc.",Salesforce Tower,3rd Floor 415 Mission Street,San Francisco,CA,94105,United States,415 901 7000,https://www.salesforce.com,Technology,Software - Application,231107510272,227544514560,76453,USD,NYQ,35.336243,21.81132,0.69,1.224,369.0,226.48,"Salesforce, Inc. provides customer relationship management (CRM) technology that connects companies and customers together worldwide. The company offers Agentforce, an agentic layer of the salesforce platform; Data Cloud, a data engine; Industries AI for creating industry-specific AI agents with Agentforce ; Salesforce Starter, a suite of solution for small and medium-size business; Slack, a workplace communication and productivity platform; Tableau, an end-to-end analytics solution for range of"
LMT,Lockheed Martin Corporation,Lockheed Martin Corporation,6801 Rockledge Drive,,Bethesda,MD,20817,United States,301 897 6000,https://www.lockheedmartin.com,Industrials,Aerospace & Defense,110034386944,130379415552,121000,USD,NYQ,26.448374,16.76663,2.8,0.262,618.95,410.11,"Lockheed Martin Corporation, an aerospace and defense company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. The company operates through four segments: Aeronautics; Missiles and Fire Control (MFC); Rotary and Mission Systems (RMS); and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The MFC segment provides air and missile de"
HD,"The Home Depot, Inc.","Home Depot, Inc. (The)",2455 Paces Ferry Road,,Atlanta,GA,30339,United States,770 433 8211,https://www.homedepot.com,Consumer Cyclical,Home Improvement Retail,420740136960,900595974144,470000,USD,NYQ,28.734875,27.095512,2.18,1.002,439.37,326.31,"The Home Depot, Inc. operates as a home improvement retailer in the United States and internationally. It sells various building materials, home improvement products, lawn and garden products, and décor products, as well as facilities maintenance, repair, and operations products. The company also offers installation services for flooring, water heaters, baths, garage doors, cabinets, cabinet makeovers, countertops, sheds, furnaces and central air systems, and windows. In addition, it provides to"
VZ,Verizon Communications Inc.,Verizon Communications Inc.,1095 Avenue of the Americas,,New York,NY,10036,United States,212 395 1000,https://www.verizon.com,Communication Services,Telecom Services,185391595520,357963792384,100000,USD,NYQ,10.225581,9.295983,6.28,0.357,47.36,37.59,"Verizon Communications Inc., through its subsidiaries, engages in the provision of communications, technology, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. It operates in two segments, Verizon Consumer Group (Consumer) and Verizon Business Group (Business). The Consumer segment provides wireless services across the wireless networks in the United States under the Verizon and TracFone brands and through wholesale and other arr"
BA,The Boeing Company,Boeing Company (The),929 Long Bridge Drive,,Arlington,VA,22202-4208,United States,703-465-3500,https://www.boeing.com,Industrials,Aerospace & Defense,163284762624,196678696960,172000,USD,NYQ,0.0,459.4468,0.0,1.483,242.69,128.88,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through three segments: Commercial Airplanes; Defense, Space & Security; and Global Services. The Commercial Airplanes segment develops, produces, and markets commercial jet aircraft for passenger and cargo requirements. The Defens"
CVX,Chevron Corporation,Chevron Corporation,1400 Smith Street,,Houston,TX,77002-7327,United States,832 854 1000,https://www.chevron.com,Energy,Oil & Gas Integrated,316548382720,297726574592,45298,USD,NYQ,20.194086,14.230978,4.35,0.874,168.96,132.04,"Chevron Corporation, through its subsidiaries, engages in the integrated energy and chemicals operations in the United States and internationally. The company operates in two segments, Upstream and Downstream. The Upstream segment engages in the exploration, development, production, and transportation of crude oil and natural gas; liquefaction, transportation, and regasification of liquefied natural gas; transporting crude oil through pipelines; processing, transporting, storage, and marketing o"
PLUG,Plug Power Inc.,"Plug Power, Inc.",968 Albany Shaker Road,,Latham,NY,12110,United States,518 782 7700,https://www.plugpower.com,Industrials,Electrical Equipment & Parts,1755356928,2689486848,3224,USD,NCM,0.0,-2.6666667,0.0,2.099,3.32,0.69,"Plug Power Inc. develops hydrogen fuel cells product solutions in North America, Europe, Asia, and internationally. The company offers GenDrive, a hydrogen fueled proton exchange membrane (PEM) fuel cell system that provides power to material handling electric vehicles; GenSure, a stationary fuel cell solution that offers modular PEM fuel cell power to support the backup and grid-support power requirements of the telecommunications, transportation, and utility sectors; and Progen, a fuel cell st"
FSLR,"First Solar, Inc.","First Solar, Inc.",350 West Washington Street,Suite 600,Tempe,AZ,85288,United States,602 414 9300,https://www.firstsolar.com,Technology,Solar,21631922176,21545082880,8100,USD,NMS,17.239317,9.669223,0.0,1.405,262.72,116.56,"First Solar, Inc., a solar technology company, provides photovoltaic (PV) solar energy solutions in the United States, France, India, Chile, and internationally. The company manufactures and sells PV solar modules with a thin film semiconductor technology that provides a lower-carbon alternative to conventional crystalline silicon PV solar modules. It also designs, manufactures, and sells cadmium telluride solar modules that converts sunlight into electricity. The company's residual business ope"
META,"Meta Platforms, Inc.","Meta Platforms, Inc.",1 Meta Way,,Menlo Park,CA,94025,United States,650 543 4800,https://investor.atmeta.com,Communication Services,Internet Content & Information,1898148003840,1900637978624,75945,USD,NMS,27.396303,29.86522,0.28,1.242,796.25,479.8,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality and mixed reality headsets, augmented reality, and wearables worldwide. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people cl"
WM,"Waste Management, Inc.","Waste Management, Inc.",800 Capitol Street,Suite 3000,Houston,TX,77002,United States,713 512 6200,https://www.wm.com,Industrials,Waste Management,87881400320,111462465536,61700,USD,NYQ,32.367954,27.033459,1.51,0.646,242.58,199.69,"Waste Management, Inc., through its subsidiaries, provides environmental solutions to residential, commercial, industrial, and municipal customers in the United States, Canada, Western Europe, and internationally. It offers collection services, including picking up and transporting waste and recyclable materials from where it was generated to a transfer station, recovery facility, or disposal site; owns and operates transfer stations; and owns, develops, and operates landfill gas-to-energy facil"
RSG,"Republic Services, Inc.","Republic Services, Inc.",18500 North Allied Way,,Phoenix,AZ,85054,United States,480 627 2700,https://www.republicservices.com,Industrials,Waste Management,71335108608,84431069184,42000,USD,NYQ,33.798817,33.55066,1.09,0.602,258.75,197.61,"Republic Services, Inc., together with its subsidiaries, offers environmental services in the United States and Canada. It is involved in the collection and processing of recyclable, solid waste, and industrial waste materials; transportation and disposal of non-hazardous and hazardous waste streams; and other environmental solutions. Its residential collection services include curbside collection of material for transport to transfer stations, landfills, recycling centers, and organics processi"
NKE,"NIKE, Inc.","Nike, Inc.",One Bowerman Drive,,Beaverton,OR,97005-6453,United States,503 671 6453,https://www.nike.com,Consumer Cyclical,Footwear & Accessories,107813699584,109683957760,77800,USD,NYQ,33.796295,22.600618,2.19,1.244,90.62,52.28,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic and casual footwear, apparel, equipment, accessories, and services for men, women, and kids in North America, Europe, the Middle East, Africa, Greater China, the Asia Pacific, and Latin America. The company offers its products under the NIKE, Jordan, Jumpman, Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks. It also provides a line of performance equipment and accessori"
ICLN,iShares Global Clean Energy ETF,iShares Global Clean Energy ETF,,,,,,,1-800-474-2737,,,,0,0,0,USD,NGM,18.19016,0.0,1.76,0.0,15.22,10.46,"The index is designed to track the performance of approximately 100 clean energy-related companies. The fund generally invests at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index. It is non-d"
TAN,Invesco Solar ETF,Invesco Solar ETF,,,,,,,,,,,0,0,0,USD,PCX,19.468256,0.0,0.4,0.0,44.49,25.53,"The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, MAC Indexing LLC, has contracted with S&P DJI Netherlands B.V. to calculate and administer the underlying index, which seeks to track the performance of companies in global solar energy businesses. The fund is non-diversified."
PHO,Invesco Water Resources ETF,Invesco Water Resources ETF,,,,,,,,,,,0,0,0,USD,NGM,25.666864,790.74,0.48,0.0,74.33,57.11,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index seeks to track the performance of companies that create products designed to conserve and purify water for homes, businesses and industries. The underlying index may include common stocks, ordinary shares, American depositary receipts (""ADRs""), shares of beneficial interest and tracking stocks. The fund is non-diversified."
AQWA,Global X Clean Water ETF,Global X Clean Water ETF,,,,,,,+1 8884938631,,,,0,0,0,USD,NGM,21.157007,0.0,1.31,0.0,20.27,15.53,"The fund invests at least 80% of its total assets, plus borrowings for investments purposes (if any), in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to companies that have business operations in the provision of clean water. It is non-diversified."
